,lat,lon,pre
145,45.050511498594,-73.22081601989125,
146,45.050511498594,-73.17564649430557,
147,45.050511498594,-73.1304769687199,
148,45.050511498594,-73.08530744313423,
149,45.050511498594,-73.04013791754856,
150,45.050511498594,-72.99496839196289,
151,45.050511498594,-72.94979886637722,
152,45.050511498594,-72.90462934079154,
153,45.050511498594,-72.85945981520587,
154,45.050511498594,-72.8142902896202,
155,45.050511498594,-72.76912076403454,
156,45.050511498594,-72.72395123844886,
157,45.050511498594,-72.67878171286318,
158,45.050511498594,-72.63361218727752,
159,45.050511498594,-72.58844266169184,
160,45.050511498594,-72.54327313610618,
161,45.050511498594,-72.4981036105205,
162,45.050511498594,-72.45293408493484,
163,45.050511498594,-72.40776455934916,
164,45.050511498594,-72.3625950337635,
165,45.050511498594,-72.31742550817782,
